Symbol,Sector,industry
TFSC,Finance,Business Services
TFSCR,Finance,Business Services
TFSCU,Finance,Business Services
TFSCW,Finance,Business Services
PIH,Finance,Property-Casualty Insurers
FLWS,Consumer Services,Other Specialty Stores
FCTY,Finance,Major Banks
FCCY,Finance,Savings Institutions
SRCE,Finance,Major Banks
VNET,Technology,"Computer Software: Programming, Data Processing"
TWOU,Technology,Computer Software: Prepackaged Software
DGLD,Finance,Investment Bankers/Brokers/Service
DSLV,Finance,Investment Bankers/Brokers/Service
UGLD,Finance,Investment Bankers/Brokers/Service
USLV,Finance,Investment Bankers/Brokers/Service
JOBS,Technology,Diversified Commercial Services
SIXD,Consumer Services,Professional Services
CAFD,Public Utilities,Electric Utilities: Central
EGHT,Public Utilities,Telecommunications Equipment
AVHI,Capital Goods,Homebuilding
SHLM,Basic Industries,Major Chemicals
AAON,Capital Goods,Industrial Machinery/Components
ABAX,Capital Goods,Industrial Machinery/Components
ABY,Public Utilities,Electric Utilities: Central
ABGB,Consumer Services,Military/Government/Technical
ABEO,Health Care,Major Pharmaceuticals
ABEOW,Health Care,Major Pharmaceuticals
ABMD,Health Care,Medical/Dental Instruments
AXAS,Energy,Oil & Gas Production
ACTG,Miscellaneous,Multi-Sector Companies
ACHC,Health Care,Medical Specialities
ACAD,Health Care,Major Pharmaceuticals
ACST,Health Care,Major Pharmaceuticals
AXDX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Finance,Savings Institutions
ARAY,Health Care,Medical/Dental Instruments
VXDN,n/a,n/a
VXUP,n/a,n/a
ACRX,Health Care,Major Pharmaceuticals
ACET,Health Care,Other Pharmaceuticals
AKAO,Health Care,Major Pharmaceuticals
ACHN,Health Care,Major Pharmaceuticals
ACIW,Technology,Computer Software: Prepackaged Software
ACRS,Health Care,Major Pharmaceuticals
ACNB,Finance,Major Banks
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTS,Technology,Semiconductors
ACPW,Public Utilities,Electric Utilities: Central
ATVI,Technology,Computer Software: Prepackaged Software
ACTA,Technology,EDP Services
ACUR,Health Care,Major Pharmaceuticals
ACXM,Technology,EDP Services
ADMS,Health Care,Major Pharmaceuticals
ADMP,Health Care,Major Pharmaceuticals
ADAP,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Health Care,Medical/Nursing Services
AEY,Consumer Services,Office Equipment/Supplies/Services
IOTS,Technology,Semiconductors
ADMA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Technology,Computer Software: Prepackaged Software
ADTN,Public Utilities,Telecommunications Equipment
ADRO,Health Care,Major Pharmaceuticals
AAAP,Health Care,Major Pharmaceuticals
AEIS,Capital Goods,Industrial Machinery/Components
AMD,Technology,Semiconductors
ADXS,Health Care,Major Pharmaceuticals
ADXSW,Health Care,Major Pharmaceuticals
MAUI,n/a,n/a
YPRO,n/a,n/a
AEGR,Health Care,Major Pharmaceuticals
AEGN,Basic Industries,Water Supply
AEHR,Capital Goods,Electrical Products
AMTX,Basic Industries,Major Chemicals
AEPI,Capital Goods,Specialty Chemicals
AERI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,Capital Goods,Aerospace
AEZS,Health Care,Major Pharmaceuticals
AEMD,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AFMD,Health Care,Major Pharmaceuticals
AFFX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,Health Care,Major Pharmaceuticals
AGYS,Technology,EDP Services
AGIO,Health Care,Major Pharmaceuticals
AGFS,Finance,Business Services
AGFSW,Finance,Business Services
AIMT,Health Care,Major Pharmaceuticals
AIRM,Transportation,Transportation Services
AIRT,Transportation,Air Freight/Delivery Services
ATSG,Transportation,Air Freight/Delivery Services
AMCN,Technology,Advertising
AIXG,Technology,Industrial Machinery/Components
AKAM,Miscellaneous,Business Services
AKTX,Health Care,Major Pharmaceuticals
AKBA,Health Care,Major Pharmaceuticals
AKER,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,Health Care,Major Pharmaceuticals
ALRM,Technology,Computer Software: Prepackaged Software
ALSK,Public Utilities,Telecommunications Equipment
AMRI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABDC,n/a,n/a
ADHD,Health Care,Major Pharmaceuticals
ALDR,Health Care,Major Pharmaceuticals
ALDX,Health Care,Major Pharmaceuticals
ALXN,Health Care,Major Pharmaceuticals
ALXA,Health Care,Major Pharmaceuticals
ALCO,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,Health Care,Industrial Specialties
ALIM,Health Care,Major Pharmaceuticals
ALKS,Health Care,Major Pharmaceuticals
ABTX,Finance,Major Banks
ALGT,Transportation,Air Freight/Delivery Services
AFOP,Technology,Semiconductors
AIQ,Health Care,Medical Specialities
AHGP,Energy,Coal Mining
ARLP,Energy,Coal Mining
AHPI,Health Care,Industrial Specialties
AMOT,Capital Goods,Electrical Products
ALQA,Health Care,Medical/Dental Instruments
ALLT,Technology,Computer Communications Equipment
MDRX,Technology,EDP Services
AFAM,Health Care,Medical/Nursing Services
ALNY,Health Care,Major Pharmaceuticals
AOSL,Technology,Semiconductors
GOOG,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Technology,"Computer Software: Programming, Data Processing"
SMCP,n/a,n/a
ATEC,Health Care,Medical/Dental Instruments
