Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 37.24, 0.01,0.03, 1369183, .0,
ADBE, Adobe Systems Incorporated, 92.17, 0.4,0.44, 632615, .2,
AKAM, Akamai Technologies Inc., 57.9, 0.22,0.38, 581320, .0,
ALXN, Alexion Pharmaceuticals Inc., 182.46, 0.22,0.12, 478119, .0,
GOOG, Alphabet Inc., 750.26, 2.11,0.28, 838303, .5,
GOOGL, Alphabet Inc., 771.97, 2.71,0.35, 721478, .0,
AMZN, Amazon.com Inc., 673.26, -2.08,-0.31, 1966052, -.8,
AAL, American Airlines Group Inc., 41.69, 0.38,0.92, 3065328, .0,
AMGN, Amgen Inc., 163.52, -0.43,-0.26, 1052159, -.3,
ADI, Analog Devices Inc., 60.45, 0.2,0.33, 915385, .1,
AAPL, Apple Inc., 117.81, -0.22,-0.19, 13046445, -.2,
AMAT, Applied Materials Inc., 18.62, 0.17,0.92, 5008973, .2,
ADSK, Autodesk Inc., 63.05, 0.13,0.21, 674021, .0,
ADP, Automatic Data Processing Inc., 86.69, 0.28,0.32, 488515, .1,
AVGO, Avago Technologies Limited, 130.04, 1.65,1.29, 1325320, .4,
BIDU, Baidu Inc., 205.58, 3.78,1.87, 3285090, .9,
BBBY, Bed Bath &amp; Beyond Inc., 55.43, 0.3,0.54, 970580, .1,
BIIB, Biogen Inc., 293.21, 0.91,0.31, 465637, .2,
BMRN, BioMarin Pharmaceutical Inc., 96.45, 0.39,0.41, 660397, .0,
CHRW, C.H. Robinson Worldwide Inc., 68.86, 0.25,0.36, 348531, .0,
CA, CA Inc., 28.2, 0.12,0.43, 959061, .1,
CELG, Celgene Corporation, 112.69, 0.34,0.3, 1310089, .1,
CERN, Cerner Corporation, 59.61, 0.1,0.17, 856617, .0,
CHTR, Charter Communications Inc., 187.24, 1.15,0.62, 339423, .1,
CHKP, Check Point Software Technologies Ltd., 86.42, 0.56,0.65, 1129073, .1,
CSCO, Cisco Systems Inc., 27.32, 0.08,0.29, 9522481, .4,
CTXS, Citrix Systems Inc., 76.85, 0.49,0.64, 445976, .1,
CTSH, Cognizant Technology Solutions Corporation, 64.73, 0.26,0.4, 1412333, .1,
CMCSA, Comcast Corporation, 61.59, 0.19,0.31, 2832471, .4,
CMCSK, Comcast Corporation, 61.64, 0.19,0.31, 686647, .0,
COST, Costco Wholesale Corporation, 163.58, 1.19,0.73, 866279, .5,
DISCA, Discovery Communications Inc., 31.08, -0.04,-0.13, 1459915, .0,
DISCK, Discovery Communications Inc., 29.46, 0.14,0.48, 1087273, .0,
DISH, DISH Network Corporation, 63.07, 0.17,0.27, 346548, .0,
DLTR, Dollar Tree Inc., 75.08, 0.15,0.2, 1464420, .0,
EBAY, eBay Inc., 29.1, 0.1,0.34, 5312226, .1,
EA, Electronic Arts Inc., 68.88, -0.63,-0.91, 1484265, .0,
EXPD, Expeditors International of Washington Inc., 49.49, 0.68,1.39, 785933, .1,
ESRX, Express Scripts Holding Company, 85.73, -0.07,-0.08, 1012546, -.1,
FB, Facebook Inc., 105.45, 0.04,0.04, 5912432, .1,
FAST, Fastenal Company, 40.33, 0.26,0.65, 766815, .1,
FISV, Fiserv Inc., 95.74, 0.32,0.34, 462750, .1,
GRMN, Garmin Ltd., 37.48, -0.46,-1.21, 623234, -.1,
GILD, Gilead Sciences Inc., 108, 0.22,0.2, 2749045, .3,
HSIC, Henry Schein Inc., 156.63, 1.17,0.75, 142144, .1,
ILMN, Illumina Inc., 185.56, 5.1,2.83, 1135953, .6,
INCY, Incyte Corporation, 116.75, 1.34,1.16, 589887, .0,
INTC, Intel Corporation, 34.46, 0.01,0.03, 6607884, .0,
INTU, Intuit Inc., 100.18, 0.33,0.33, 1108707, .1,
ISRG, Intuitive Surgical Inc., 519.24, 1.37,0.26, 77594, .1,
